Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64 - "Rocky Linux 9.4 (Blue Onyx)")

CPU model: AMD EPYC 7662 64-Core Processor, instruction set [SSE2|AVX|AVX2]
Thread count: 128 physical cores, 128 logical processors, using up to 32 threads

Optimize a model with 10364840 rows, 5072418 columns and 30072210 nonzeros
Model fingerprint: 0xbe5bac8d
Variable types: 0 continuous, 5072418 integer (5072418 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e-04, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+04]
Found heuristic solution: objective 922.5436993
Presolve removed 1302612 rows and 563602 columns (presolve time = 6s) ...
Presolve removed 1302612 rows and 563602 columns (presolve time = 10s) ...
Presolve removed 1302612 rows and 563602 columns (presolve time = 15s) ...
Presolve removed 1302612 rows and 563602 columns (presolve time = 21s) ...
Presolve removed 1302612 rows and 563602 columns (presolve time = 25s) ...
Presolve removed 1302612 rows and 563602 columns (presolve time = 30s) ...
Presolve removed 1302612 rows and 563602 columns (presolve time = 35s) ...
Presolve removed 1302612 rows and 563602 columns (presolve time = 40s) ...
Presolve removed 4440172 rows and 654362 columns (presolve time = 45s) ...
Presolve removed 4440172 rows and 654362 columns (presolve time = 50s) ...
Presolve removed 4440172 rows and 654362 columns (presolve time = 55s) ...
Presolve removed 4440172 rows and 654362 columns (presolve time = 60s) ...
Presolve removed 4440172 rows and 654362 columns (presolve time = 65s) ...
Presolve removed 4440172 rows and 654362 columns (presolve time = 70s) ...
Presolve removed 4440172 rows and 654362 columns (presolve time = 75s) ...
Presolve removed 4440171 rows and 654361 columns
Presolve time: 77.36s
Presolved: 5924669 rows, 4418057 columns, 16895840 nonzeros
Variable types: 0 continuous, 4418057 integer (4418056 binary)
Found heuristic solution: objective 1399.2448987
Concurrent LP optimizer: primal and dual simplex
Showing primal log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
 4244023    3.6469974e+03   0.000000e+00   7.841924e+02   1106s
 4250882    3.6471603e+03   0.000000e+00   4.661392e+02   1112s
 4258654    3.6476885e+03   0.000000e+00   3.980914e+02   1119s
 4263888    3.6479575e+03   0.000000e+00   3.692346e+02   1122s
 4270568    3.6483121e+03   0.000000e+00   3.105233e+02   1126s
 4280616    3.6488285e+03   0.000000e+00   8.154466e+02   1132s
 4287589    3.6491418e+03   0.000000e+00   3.897481e+02   1138s
 4295931    3.6495207e+03   0.000000e+00   1.801695e+02   1143s
 4304726    3.6499005e+03   0.000000e+00   1.786981e+02   1149s
 4313573    3.6501426e+03   0.000000e+00   1.424214e+02   1153s
 4318801    3.6503518e+03   0.000000e+00   6.594805e+02   1156s
 4327318    3.6508023e+03   0.000000e+00   3.496258e+02   1161s
 4334175    3.6510410e+03   0.000000e+00   1.502655e+02   1166s
 4344055    3.6512762e+03   0.000000e+00   1.011267e+02   1174s
 4349309    3.6514297e+03   0.000000e+00   5.985904e+01   1179s
 4356520    3.6517424e+03   0.000000e+00   1.245785e+02   1184s
 4358676    3.6517940e+03   0.000000e+00   3.901174e+01   1187s
 4365363    3.6519383e+03   0.000000e+00   3.138252e+01   1194s
 4374188    3.6522563e+03   0.000000e+00   2.830355e+01   1200s
 4382779    3.6524161e+03   0.000000e+00   2.733809e+01   1206s
 4388397    3.6526856e+03   0.000000e+00   2.125008e+01   1212s
 4398005    3.6528411e+03   0.000000e+00   2.598559e+03   1218s
 4404949    3.6530681e+03   0.000000e+00   2.738123e+01   1223s
 4411419    3.6531827e+03   0.000000e+00   2.213435e+03   1228s
 4416949    3.6534687e+03   0.000000e+00   9.985000e+01   1234s
 4425202    3.6537156e+03   0.000000e+00   1.581420e+01   1241s
 4432995    3.6539480e+03   0.000000e+00   8.510721e+00   1249s
 4439464    3.6541810e+03   0.000000e+00   5.482094e+00   1260s
 4448942    3.6543322e+03   0.000000e+00   3.879409e+00   1270s
 4456984    3.6544153e+03   0.000000e+00   2.405382e+00   1281s
 4463738    3.6544356e+03   0.000000e+00   9.587296e+00   1297s
 4469574    3.6544492e+03   0.000000e+00   4.638670e+00   1304s
 4475674    3.6544725e+03   0.000000e+00   8.014323e-01   1313s
 4479684    3.6544980e+03   0.000000e+00   5.281139e-01   1320s
 4482364    3.6545089e+03   0.000000e+00   1.077765e-01   1327s
 4483073    3.6541374e+03   1.493407e+01   0.000000e+00   1331s
 4483088    3.6541374e+03   0.000000e+00   0.000000e+00   1333s

Solved with primal simplex

Root relaxation: objective 3.654137e+03, 4483088 iterations, 1238.46 seconds (781.28 work units)
Total elapsed time = 1489.44s (DegenMoves)
Total elapsed time = 1496.05s (DegenMoves)

